lfdn;external_lfdn;tester;dispcode;lastpage;quality;duration;c_0001;p_0001;c_0002;c_0003;v_382;v_1033;v_384;v_1971;v_1972;v_1973;v_1974;v_1975;v_1976;v_1977;v_1978;v_1979;v_1980;v_191;v_192;v_2022;v_217;v_1994;v_1995;v_1996;v_1997;v_1999;v_2000;v_221;v_222;v_223;v_224;v_1935;v_1936;v_1937;v_1938;v_2009;v_225;v_229;v_327;v_230;v_231;v_232;v_233;v_234;v_235;v_236;v_328;v_237;v_238;v_239;v_240;v_241;v_243;v_244;v_245;v_247;v_249;v_250;v_251;v_252;v_254;v_255;v_256;v_258;v_259;v_260;v_261;v_262;v_263;v_264;v_265;v_266;v_267;v_268;v_269;v_271;v_272;v_273;v_274;v_275;v_276;v_339;v_342;v_343;v_344;v_346;v_347;v_287;v_288;v_289;v_290;v_291;v_292;v_293;v_294;v_296;v_297;v_298;v_352;v_299;v_300;v_301;v_302;v_303;v_305;v_306;v_307;v_308;v_309;v_310;v_311;v_312;v_313;v_314;v_325;v_315;v_316;v_317;dupl1_v_675;v_318;v_326;browser;referer;device_type;participant_browser;participant_browser_version;participant_os;participant_device;participant_brand;participant_model;participant_isbot;participant_continent;participant_country;participant_region;participant_city;participant_latitude;participant_longitude;quota;quota_assignment;page_history;hflip;vflip;output_mode;javascript;flash;session_id;language;cleaned;ats;datetime;date_of_last_access;date_of_first_mail;rts5544076;rts5544077;rts5544083;rts5544084;rts5544085;rts5544086;rts5544092;rts5544098;rts5544100;rts5544117;rts5544133;rts5544134;rts5544135;rts5544153;rts5544154;rts5544480;rts5544487;rts5544497;rts5544525;rts5544579;rts5544585;rts5544609;rts5544709;rts5544715;rts5544761;rts5544812;rts5544857;rts5546077
88;0;0;31;5544075;-77;3474;2;9894ccc149d6d3359503f777798a4ea8;-66;-66;1;32;7;9;9;8;8;2;2;4;4;4;4;90;73;3;20;1;1;2;2;5;5;2;3;4;2;3;5;5;2;3;1;6;7;5;4;7;2;8;7;9;9;7;5;8;4;5;3;2;5;7;1;6;4;3;5;1;7;2;6;4;7;5;3;9;3;9;3;4;4;4;2;4;2;4;3;4;4;4;4;3;3;4;4;4;2;2;4;2;2;4;5;4;4;2;4;3;3;3;4;3;4;4;2;2;2;3;2;3;0;10;7;30;3;3;2;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_3) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15";https://mingle.respondi.com/s/1303500/ospe.php?SES=4f38f29081400a060466ac486db99e58;0;0;-99;0;0;0;0;0;0;0;-99;-99;-66;-66;3;3,7;5544076,5544077,5544078,5544080,5544082,5544083,5544099,5544116,5544084,5544085,5544086,5544087,5544092,5544093,5544133,5544134,5544135,5544480,5544487,5544497,5544525,5544579,5544585,5546077,5544609,5544709,5544715,5544761,5544812,5544154,5544153,5544857,5544075;1;0;0;-77;-77;9dd710a0638dab8e852a69ac2f743f69;1;0;1592305961;16.06.2020 11:12;16.06.2020 12:10;0000-00-00 00:00:00;2742;2777;2784;2800;2874;2900;2918;0;0;0;2974;3002;3017;3472;3462;3021;3051;3081;3136;3160;3203;3258;3287;3313;3451;3458;3474;3224
90;0;0;31;5544075;-77;368;9;bd08a110f74f704502da354f04f87f84;-66;-66;1;43;6;11;11;11;11;1;2;4;4;5;5;95;80;4;98;2;4;2;4;4;4;60;80;60;99;7;6;6;5;7;3;6;7;4;5;7;1;11;6;9;8;6;10;8;2;1;4;2;7;3;1;5;6;5;7;3;2;1;4;6;9;6;2;10;5;6;4;5;4;4;2;3;4;4;3;5;3;5;4;4;4;3;4;5;4;5;4;3;3;4;4;5;4;2;3;3;4;4;5;5;4;5;4;4;2;3;3;4;0;20;25;22;13;6;2;"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:77.0) Gecko/20100101 Firefox/77.0";https://mingle.respondi.com/s/1303500/ospe.php?SES=2dca31398a2ea1d70ec5b4a19e317855;0;0;-99;0;0;0;0;0;0;0;-99;-99;-66;-66;4;4,7;5544076,5544077,5544078,5544080,5544082,5544099,5544116,5544117,5544084,5544085,5544086,5544087,5544093,5544098,5544133,5544134,5544135,5544480,5544487,5544497,5544525,5544579,5544585,5546077,5544609,5544709,5544715,5544761,5544812,5544154,5544153,5544857,5544075;0;0;0;-77;-77;9f31d51ea2fbad4432ca9e46d4cfa1d3;1;0;1592306176;16.06.2020 11:16;16.06.2020 11:22;0000-00-00 00:00:00;3;9;0;34;49;66;0;78;0;21;105;122;134;366;359;139;163;182;217;232;254;291;308;335;351;356;368;270
91;0;0;31;5544075;-77;812;6;9d19d648bb9fac546235dbe97cc2f886;-66;-66;1;59;3;6;6;7;8;3;1;3;1;2;3;84;30;3;100;3;5;5;5;4;4;20;30;10;100;6;7;7;7;7;5;11;11;10;9;11;1;11;1;1;2;2;3;1;11;1;5;4;7;2;1;3;6;5;7;4;2;3;1;6;11;10;2;11;2;11;4;4;4;4;3;3;3;5;3;4;3;5;4;4;4;3;4;4;4;5;5;5;1;1;3;5;5;2;2;1;4;4;1;5;4;5;3;4;1;3;1;4;0;25;20;0;10;4;1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.18363";https://mingle.respondi.com/s/1303500/ospe.php?SES=3cf3ff5c298a3bce81157de49592d95f;0;0;-99;0;0;0;0;0;0;0;-99;-99;-66;-66;5;5,7;5544076,5544077,5544078,5544080,5544082,5544099,5544100,5544116,5544084,5544085,5544086,5544087,5544093,5544098,5544133,5544134,5544135,5544480,5544487,5544497,5544525,5544579,5544585,5546077,5544609,5544709,5544715,5544761,5544812,5544154,5544153,5544857,5544075;0;0;0;-77;-77;d21dfd4bff0f72d0725de1e821f64622;1;0;1592306187;16.06.2020 11:16;16.06.2020 11:29;0000-00-00 00:00:00;3;16;0;51;79;125;0;139;31;0;188;215;232;807;799;237;265;287;517;577;616;677;701;757;783;795;812;638
92;0;0;31;5544075;-77;518;4;84f79827431a9dc824dcaca1fe22b4e1;-66;-66;2;48;7;3;3;3;3;3;2;3;3;3;2;80;40;4;99;3;3;4;4;5;5;6;20;30;11;4;6;5;5;5;5;8;8;6;6;7;3;10;5;5;8;4;6;3;7;1;2;5;6;3;4;1;7;5;6;4;2;3;1;7;8;7;4;10;6;9;4;5;3;4;3;3;2;4;3;4;3;5;3;4;4;2;4;4;4;4;4;4;2;3;3;3;3;2;3;1;4;4;3;5;4;5;2;3;3;4;1;3;450;10;10;20;2;3;1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:77.0) Gecko/20100101 Firefox/77.0";https://mingle.respondi.com/s/1303500/ospe.php?SES=30878f29ee897556669e7fca6347b3ce;0;0;-99;0;0;0;0;0;0;0;-99;-99;-66;-66;4;4,8;5544076,5544077,5544078,5544080,5544082,5544099,5544100,5544116,5544084,5544085,5544086,5544087,5544093,5544133,5544134,5544135,5544480,5544487,5544497,5544525,5544579,5544585,5546077,5544609,5544709,5544715,5544761,5544812,5544154,5544153,5544857,5544075;1;0;0;-77;-77;91533f2a95cf7b1299a6b5ed12642f85;1;0;1592306208;16.06.2020 11:16;16.06.2020 11:25;0000-00-00 00:00:00;2;10;0;42;126;148;0;0;22;0;179;194;230;515;506;238;259;285;348;377;406;442;458;485;495;502;518;423
93;0;0;31;5544075;-77;433;5;cf20efac07584a51b81da08a92734beb;-66;-66;2;35;5;8;8;8;8;3;2;3;3;4;4;70;71;3;90;4;4;4;4;6;6;50;50;50;50;4;5;5;5;6;7;6;6;6;6;6;1;11;6;6;6;6;6;6;1;1;4;2;6;5;1;3;7;6;4;2;5;1;3;7;6;6;6;6;6;6;4;4;4;4;3;3;3;4;3;4;2;4;4;4;3;3;4;4;2;4;4;4;1;3;3;3;3;3;3;3;3;3;3;3;4;3;3;4;1;2;1;3;5000;60;60;50;7;6;1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36";https://mingle.respondi.com/s/1303500/ospe.php?SES=0dba43d0917a1e0cfbd007ba58db9520;0;0;-99;0;0;0;0;0;0;0;-99;-99;-66;-66;3;3,8;5544076,5544077,5544078,5544080,5544082,5544099,5544100,5544116,5544084,5544085,5544086,5544087,5544092,5544093,5544133,5544134,5544135,5544480,5544487,5544497,5544525,5544579,5544585,5546077,5544609,5544709,5544715,5544761,5544812,5544154,5544153,5544857,5544075;0;1;0;-77;-77;1533c89eb0b6b68c8322a33f520b046d;1;0;1592306243;16.06.2020 11:17;16.06.2020 11:24;0000-00-00 00:00:00;13;18;0;39;58;82;97;0;31;0;122;136;151;430;389;154;171;186;236;248;278;333;342;368;378;386;433;301
94;0;0;31;5544075;-77;554;3;951389a5912d9aaff7f3dcb806b2b621;-66;-66;2;23;6;10;10;6;10;3;1;4;4;4;5;85;35;5;100;2;5;2;5;7;7;50;40;50;50;4;7;7;7;4;3;7;8;5;3;6;1;11;3;5;3;3;8;4;7;1;7;4;6;1;3;5;2;7;5;4;1;6;3;2;8;5;2;10;2;11;5;5;4;4;2;4;2;3;2;5;3;4;4;5;4;4;2;3;5;5;5;5;3;3;5;5;5;3;4;2;4;4;4;2;4;2;4;5;5;5;4;4;0;70;15;50;5;3;3;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15";https://mingle.respondi.com/s/1303500/ospe.php?SES=fe6b397f077634bb93b373711ada1aaa;0;0;-99;0;0;0;0;0;0;0;-99;-99;-66;-66;2;2,8;5544076,5544077,5544078,5544080,5544082,5544083,5544099,5544116,5544084,5544085,5544085,5544085,5544086,5544087,5544093,5544098,5544133,5544134,5544135,5544480,5544487,5544497,5544525,5544579,5544585,5546077,5544609,5544709,5544715,5544761,5544812,5544154,5544153,5544857,5544075;1;1;0;-77;-77;444a8ddabe281dfeba7ae02213f9bc53;1;0;1592306254;16.06.2020 11:17;16.06.2020 11:26;0000-00-00 00:00:00;2;9;15;35;53;82;0;95;0;0;141;166;179;551;537;183;214;238;289;317;356;441;464;497;525;533;554;400
95;0;0;31;5544075;-77;1195;2;f236801a21fdd974c45d165e846e809a;-66;-66;1;61;7;10;10;10;10;3;3;4;4;3;4;61;40;3;100;4;4;5;5;7;6;94;99;91;98;7;7;6;7;7;3;6;7;4;4;9;3;11;4;8;4;7;10;2;6;1;6;3;7;1;2;5;4;6;7;2;1;4;5;3;6;5;1;10;5;11;2;2;3;3;4;2;2;1;2;3;2;2;3;3;4;4;3;3;4;4;2;3;3;4;5;4;3;3;5;3;5;5;5;4;4;3;3;5;3;4;4;4;10;56;30;55;10;8;2;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15";https://mingle.respondi.com/s/1303500/ospe.php?SES=882d3a8d7f790d6681ffffde27427287;0;0;-99;0;0;0;0;0;0;0;-99;-99;-66;-66;6;6,7;5544076,5544077,5544078,5544080,5544082,5544083,5544099,5544116,5544084,5544085,5544086,5544087,5544092,5544093,5544133,5544134,5544135,5544480,5544487,5544497,5544525,5544579,5544585,5546077,5544609,5544709,5544715,5544761,5544812,5544154,5544153,5544857,5544075;1;1;0;-77;-77;6c706f80fd117911bb14494b854ecf68;1;0;1592306329;16.06.2020 11:18;16.06.2020 11:38;0000-00-00 00:00:00;6;38;47;85;116;187;212;0;0;0;287;349;401;1188;1150;408;516;597;724;796;833;861;957;1074;1127;1142;1195;846
96;0;0;31;5544075;-77;808;1;2fbfad21c321e2d45544b0caa92fdeb5;-66;-66;1;62;7;9;9;11;9;1;2;2;3;4;3;70;60;4;80;2;3;4;4;3;3;10;10;10;30;5;6;5;1;6;1;6;8;4;3;8;2;11;8;7;8;4;3;5;1;6;4;1;3;7;2;5;6;3;1;4;7;2;5;6;9;6;3;9;6;9;4;4;3;3;2;2;3;4;2;2;1;4;4;4;2;4;4;3;4;4;4;3;1;4;5;5;5;2;4;4;4;4;2;2;4;1;1;1;1;3;1;4;200;21;20;10;9;4;2;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Safari/537.36";https://mingle.respondi.com/s/1303500/ospe.php?SES=def53c0273e1df6376222612bc3730cd;0;0;-99;0;0;0;0;0;0;0;-99;-99;-66;-66;6;6,7;5544076,5544077,5544078,5544080,5544082,5544083,5544099,5544116,5544084,5544085,5544086,5544087,5544093,5544133,5544134,5544135,5544480,5544487,5544497,5544525,5544579,5544585,5546077,5544609,5544709,5544715,5544761,5544812,5544154,5544153,5544857,5544075;1;0;0;-77;-77;4c89c5f0a59aff4c0e2181f87b1a52da;1;0;1592306478;16.06.2020 11:21;16.06.2020 11:34;0000-00-00 00:00:00;6;18;26;63;92;120;0;0;0;0;169;207;232;805;792;236;275;309;378;411;462;668;702;767;782;788;808;503
97;0;0;31;5544075;-77;661;8;df26806328ed4fb70c639151a50fa972;-66;-66;2;59;7;8;9;9;7;3;2;3;2;4;2;78;64;4;76;3;2;2;3;5;6;50;60;65;65;7;7;7;7;7;1;8;9;6;5;9;2;11;6;8;4;5;7;3;8;1;5;1;3;2;6;4;7;4;5;1;2;7;3;6;7;5;1;10;2;11;5;4;4;4;1;5;2;4;2;4;3;4;4;5;4;1;3;5;4;4;5;5;5;4;2;5;5;3;3;4;3;3;3;3;3;3;2;2;5;4;2;4;50;62;60;39;15;9;1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36";https://mingle.respondi.com/s/1303500/ospe.php?SES=32212050144d03b98f3337f3244742ca;0;0;-99;0;0;0;0;0;0;0;-99;-99;-66;-66;5;5,8;5544076,5544077,5544078,5544080,5544082,5544099,5544116,5544117,5544084,5544085,5544086,5544087,5544092,5544093,5544133,5544134,5544135,5544480,5544487,5544497,5544525,5544579,5544585,5546077,5544609,5544709,5544715,5544761,5544812,5544154,5544154,5544154,5544153,5544857,5544075;1;0;0;-77;-77;547312ba44c49195d48a84d6f3948b41;1;0;1592306553;16.06.2020 11:22;16.06.2020 11:33;0000-00-00 00:00:00;57;66;0;95;133;178;193;0;0;77;233;256;275;657;646;280;318;344;404;425;470;538;567;615;633;638;661;500
98;0;0;31;5544075;-77;496;7;954ec06e98a41695dd6c3fbcab69a627;-66;-66;1;36;7;10;10;10;10;3;1;4;4;4;4;82;40;3;90;4;4;5;5;2;2;56;60;9;11;6;7;6;6;6;3;7;8;5;4;6;3;11;4;5;5;7;7;6;6;1;3;5;7;2;4;1;6;7;5;4;1;2;3;6;9;6;1;7;5;9;4;5;4;4;2;3;2;5;2;5;4;4;4;4;4;3;4;4;4;3;4;4;4;4;4;5;5;3;4;3;4;4;4;3;3;4;3;4;2;2;3;3;100;51;48;31;10;7;2;"Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko";https://mingle.respondi.com/s/1303500/ospe.php?SES=845af23eebe386b577d85a724d23ae23;0;0;-99;0;0;0;0;0;0;0;-99;-99;-66;-66;3;3,7;5544076,5544077,5544078,5544080,5544082,5544099,5544116,5544117,5544084,5544085,5544086,5544087,5544093,5544133,5544134,5544135,5544480,5544487,5544497,5544525,5544579,5544585,5546077,5544609,5544709,5544715,5544761,5544812,5544154,5544153,5544857,5544075;1;1;0;-77;-77;f2c50b70aaa93b3e7659375becd3d0e5;1;0;1592306556;16.06.2020 11:22;16.06.2020 11:30;0000-00-00 00:00:00;3;13;0;39;59;87;0;0;0;29;123;142;153;493;488;156;206;252;327;359;384;408;427;461;476;484;496;397
